text,emotion
at sunset i want to bang my wife there on the rock,joy
Awesome job!!,joy
"5% more people identifying as liberal than conservative, 4.3% more people supporting the tax rates. [NAME] activated",joy
Nicely framed.,joy
The great nation of Texas (excluding Austin) will rise up and purge these heretics.,joy
Inkling main: I like being cheap. It makes me happy.,joy
Eastern European here. Very cool! We’re really all the same.,joy
So $0.50 for that GIF? I think I'll pass.,joy
Thankkks and np,joy
I will check him out thank you :),joy
Was expecting a horrifically broken ankle. You have posted the actually unexpected,surprise
That was never in discussion all Miami wanted was to get rid off the whole contract.,anger
Good minutes from bayless,joy
I feel like you and i share a mind. I appreciate your creativity!,joy
Does anybody ever tell you guys that you're doing a good job? Because they should. You're doing a good job.,joy
"Luckily I never got sucked into Overwatch, because I know if I had I would definitely have an unhealthy amount of playtime racked up. ",joy
Bunch of incels,anger
You’re not being used but she has no right to tell you what to do with your money.,anger
Same! Protect yourself as much as you can. I also clean the phone and the case :D,joy
"Gonna use this on my kids tomorrow, thanks kindly",joy
You've been checking in on all us 3.8 billion females? That's impressive.,joy
Damn... That means a lot. Thank you!,joy
"""""""PETA approved"""" I'm out. I hate PETA even more than I hate mlms""",anger
This video is funny but every time I watch it I get so mad at the guys filming and their belittling comments!,joy
Thank you! I will!,joy
this is just brother and sister but with extra steps,joy
Butterfly is cute... it’s the dreds that are gross,joy
"Oh [NAME], oh no, no no no",surprise
Cool. Would be happy to know if this worked out for you. I had wasted a bunch of time like you did and was getting frustrated.,sadness
Thank you! :),joy
This looks amazing. I'm sure Netflix will cancel the series in February.,joy
"hey, that's me. Glad i'm done with the class, so much work",joy
"Yeah, you're getting points. Bring your insurance documents as well just to save yourself the trip back. They will ask for them.",joy
Best decision of your life.,joy
Wishing the best for your pupper.,joy
"He’s had big games for us before, it’s just his lack of consistency and effort ",sadness
Unfortunately not. 😏,sadness
Thank you for explaining it better than my rambling. I agree.,joy
How about as a whole we just hate snow,anger
Not surprised...he has ZERO interest in finding a job and living like a responsible adult...,anger
Calling a 40k salary a humblebrag is still pretty funny in a self-deprecating way.,joy
But I love solids,joy
The ochils are the only plus side to living in Clackmannanshire. Plus easy travel to anywhere in scotland,joy
That’s a wonderful meaningless word salad,joy
Very true. Having a 3rd pair of [NAME] and [NAME] has been solid,joy
That's some good stuff! What did you think about [NAME]?,surprise
"No, you're stupid. Pronoun confusion is a side effect.",surprise
Sorry for the bad formatting,sadness
"Hears hoping, best of luck",joy
Those other countries clearly exploited to shit? Dats cuz it's not mah [NAME]. -You with your big brain logic.,anger
"I feel bad for them now, but if they ever get good I’ll hate them like the rest. ",sadness
This game and it’s updates can be very frustrating sometimes. We already discuss the issues to death but meme Monday has been oddly therapeutic,anger
[NAME] is garbage in every single game he plays. He needs to be traded,sadness
"Can confirm, girl asked my out on a second date and my comfort levels and confidence sky rocketed",joy
you'd have to help them get past [NAME] extremely tough immigration process,joy
"Way to cherry pick. Remember that time that [NAME] person got lit up for like, 9 goals against or something? Man, that guy sure sucked.",anger
You're not a good person if you make the person that just let you inside their body feel bad and disrespected.,anger
this literally made me sick to my stomach,sadness
Mugging is just how we show love around here. Respect our culture.,joy
"Nope, you weren't in the wrong at all.",joy
Hey thanks!,joy
can I use I can't believe it's not butter because my boyfie doesn't make over 20k :(,sadness
"Oy vey, [NAME] 🗑 is gonna be *pissed*!!!",anger
had to google mesosphere. good job.,joy
"Definitely was a nonononoyes for me there lol, I'm a horrible person",joy
I’m the most surprised that [NAME] is 35. Seems like just yesterday he was plotting with [NAME] on how to get booze for the party,surprise
He showed how easy it is to get into a team and gain fame.,joy
Bingo - using market cap as your yardstick is as stupid as using GDP as a yardstick. One metric is never enough to capture a picture.,anger
You might have better luck,joy
I thought I was the only woman who felt this way. I'm glad I'm not alone.,joy
Thanks for this. I appreciate everyone involved.,joy
lol..You're not getting [NAME] or any of the young core..,joy
thank you so much please subscribe,joy
That's cute love it!,joy
Wow dan I like being up at 4am....,joy
"He's the only dignified politician, but it's still bizarre that people can be so enamoured of a literal [NAME]",joy
LMFAOOOOO that’s when family guy was still funny,joy
I'd love it if we actually rotated instead of running players into the ground.,joy
"Additionally, over the years I developed ED and PE... and it sucks. Just thought I would put that out there.",surprise
How do you know they are [NAME]? Where they caught? Maybe a cat? It's just some crazy person?,surprise
Gotta love Texas high school football for exposing me early.,joy
I like the game tonight,joy
I'm so happy this whole group of lines was poster. It made my day...,joy
You really really summed that up. Perfectly actually.,joy
"Agreed, if you think about the animals it's sad. If you think about zerocarbers' blood profiles it gets amusing.",joy
"Search results are indeed based on personal search history. The first result I get searching Canadian Soldiers is [NAME], haha",joy
Wow dude get a life and stop digging through my comments trying to pick a fight like a belligerent moron.,anger
"No problem at all, glad I could help :) Cheers!",joy
"Yup, Telltale was good. Until 2016.",joy
Weird how he doesn't have to say the word review in order to spend the entire article reviewing,sadness
"""""""So, I was grading your work and someone spilled coffee on them. Sorry for the mess.""""""",sadness
"Yeah, the only issue with the scene is how long the dance scene goes. ",anger
"I feel like [NAME] was impossibly bad enough to warrant memes about him. [NAME] is just bad, boring, and too invisible to really hate.",anger
Ah got it. Marked it sorry!,joy
"Oh no, my secret identity as a neurosurgeon/entomologist/radiologist/anesthetist/dentist has been discovered! I knew I should have given less detailed medical advice online! D: ",surprise
"You're fighting the good fight here. If you still want blackberries on your property, you can always try growing our native one, *Rubus ursinus*.",joy
You will also be removed from a jury if you utter anything about it.,anger
His estate still have property in places like ireland. To this he has grounds rent paid to him,joy
Oh good lord what did I create,surprise
Wait until you’re at least 25 to get a tattoo. You’ll more than likely regret it otherwise.,sadness
It's showtime!!,joy
"I really like this OP, going to start doing something similar - thank you! ",joy
I love that fray. I wonder how he got it.,joy
Ty. I confessed and they are being very nice to me. My kids are safe and me going to therapy is a plus now.,joy
